area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,County,1001,Autauga County,"Autauga, AL",28338,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9444,0.6026
Total,County,1001,Autauga County,"Autauga, AL",28338,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6574,0.5967
Total,County,1003,Baldwin County,"Baldwin, AL",143420,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8311,0.4069
Total,County,1003,Baldwin County,"Baldwin, AL",143420,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8291,0.4396
Total,County,1005,Barbour County,"Barbour, AL",15290,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6474,0.2114
Total,County,1005,Barbour County,"Barbour, AL",15290,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3192,0.2119
Total,County,1007,Bibb County,"Bibb, AL",11197,R,Any Technology,1.0000,1.0000,1.0000,0.9999,0.2691,0.2683
Total,County,1007,Bibb County,"Bibb, AL",11197,B,Any Technology,1.0000,1.0000,1.0000,0.9999,0.2720,0.2698
Total,County,1009,Blount County,"Blount, AL",31043,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5513,0.1670
Total,County,1009,Blount County,"Blount, AL",31043,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4208,0.1670
Total,County,1011,Bullock County,"Bullock, AL",5911,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8550,0.8550
Total,County,1011,Bullock County,"Bullock, AL",5911,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8550,0.8550
Total,County,1013,Butler County,"Butler, AL",12756,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6421,0.1947
Total,County,1013,Butler County,"Butler, AL",12756,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5510,0.1947
Total,County,1015,Calhoun County,"Calhoun, AL",63390,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9160,0.3410
